País,Coffee type,Total_production ,Year
Lao People's Democratic Republic,Robusta,0.0,1995
Liberia,Robusta,300000.0,1995
Mexico,Arabica/Robusta,318000000.0,1995
Nepal,Arabica,0.0,1995
Nicaragua,Arabica,59100000.0,1995
Nigeria,Robusta,3180000.0,1995
Panama,Arabica,12540000.0,1995
Sierra Leone,Robusta,2640000.0,1995
Sri Lanka,Robusta/Arabica,2160000.0,1995
Thailand,Robusta/Arabica,79020000.0,1995
Togo,Robusta,5040000.0,1995
Trinidad & Tobago,Robusta,1080000.0,1995
Uganda,Robusta/Arabica,194640000.0,1995
Venezuela,Arabica,88020000.0,1995
Viet Nam,Robusta/Arabica,238200000.0,1995
Yemen,Arabica,0.0,1995
Angola,Robusta/Arabica,4260000.0,1996
Bolivia (Plurinational State of),Arabica,7500000.0,1996
Brazil,Arabica/Robusta,1751820000.0,1996
Burundi,Arabica/Robusta,24060000.0,1996
Ecuador,Arabica/Robusta,119580000.0,1996
Indonesia,Robusta/Arabica,493260000.0,1996
Madagascar,Robusta,50940000.0,1996
Malawi,Arabica,2940000.0,1996
Papua New Guinea,Arabica/Robusta,65340000.0,1996
Paraguay,Arabica,1860000.0,1996
Peru,Arabica,108360000.0,1996
Rwanda,Arabica,17580000.0,1996
Timor-Leste,Arabica,0.0,1996
Zimbabwe,Arabica,10440000.0,1996
Congo,Robusta,840000.0,1996
Cuba,Arabica,21960000.0,1996
Dominican Republic,Arabica/Robusta,31140000.0,1996
Haiti,Arabica,25680000.0,1996
Philippines,Robusta/Arabica,53400000.0,1996
Tanzania,Arabica/Robusta,45840000.0,1996
Zambia,Arabica,1980000.0,1996
Cameroon,Robusta/Arabica,85920000.0,1996
Central African Republic,Robusta,12480000.0,1996
Colombia,Arabica,646740000.0,1996
Costa Rica,Arabica,133320000.0,1996
Côte d'Ivoire,Robusta,291540000.0,1996
Democratic Republic of Congo,Robusta/Arabica,47700000.0,1996
El Salvador,Arabica,152040000.0,1996
Equatorial Guinea,Robusta,60000.0,1996
